country	sample	age	period	type	longitude	latitude	data	color
EURw1_FR	FCd01	0	present	present	3.105836	45.777968	wgs	NA
EURw1_FR	FCh01	0	present	present	2.41465	47.075521	wgs	NA
COR	FCo01	0	present	present	9.439997	42.615555	wgs	NA
COR	FCo02	0	present	present	9.439997	42.615555	wgs	NA
COR	FCo03	0	present	present	9.439997	42.615555	wgs	NA
EURw1_FR	FGi01	0	present	present	-0.856399	45.14301	wgs	NA
EURw1_FR	FIs01	0	present	present	5.742979	45.207473	wgs	NA
EURw1_FR	FIs02	0	present	present	5.742979	45.207473	wgs	NA
EURw1_FR	FOi01	0	present	present	1.872402	49.215978	wgs	NA
EURw1_FR	FPa01	0	present	present	3.105836	45.777968	wgs	NA
EURw1_FR	FPd01	0	present	present	3.105836	45.777968	wgs	NA
EURw1_FR	FVa01	0	present	present	4.873064	44.008016	wgs	NA
HZ	401V	0	present	present	7.449	44.4297	chip	NA
HZ	402V	0	present	present	7.6657	44.4611	chip	NA
HZ	403HZ	0	present	present	7.4842	44.33	chip	NA
HZ	404V	0	present	present	7.5516	44.328	chip	NA
HZ	406HZ	0	present	present	7.4842	44.33	chip	NA
HZ	408V	0	present	present	7.6657	44.4611	chip	NA
HZ	409V	0	present	present	7.6657	44.4611	chip	NA
HZ	410HZ	0	present	present	7.4842	44.33	chip	NA
HZ	411HZ	0	present	present	7.4842	44.33	chip	NA
HZ	412V	0	present	present	7.8197	44.3953	chip	NA
HZ	413HZ	0	present	present	7.4842	44.33	chip	NA
HZ	415V	0	present	present	7.5516	44.328	chip	NA
HZ	416HZ	0	present	present	7.5516	44.328	chip	NA
HZ	417HZ	0	present	present	7.3657	44.4658	chip	NA
HZ	419V	0	present	present	7.8197	44.3953	chip	NA
HZ	421V	0	present	present	7.3657	44.4658	chip	NA
HZ	422HZ	0	present	present	7.3657	44.4658	chip	NA
HZ	423HZ	0	present	present	7.5516	44.328	chip	NA
HZ	425V	0	present	present	7.5516	44.328	chip	NA
HZ	426V	0	present	present	7.6657	44.4611	chip	NA
HZ	427V	0	present	present	7.5516	44.328	chip	NA
HZ	430HZ	0	present	present	7.5516	44.328	chip	NA
HZ	432V	0	present	present	7.8197	44.3953	chip	NA
HZ	434HZ	0	present	present	7.5516	44.328	chip	NA
HZ	435HZ	0	present	present	7.4842	44.33	chip	NA
HZ	436HZ	0	present	present	7.4842	44.33	chip	NA
HZ	438V	0	present	present	7.6657	44.4611	chip	NA
HZ	439HZ	0	present	present	7.5516	44.328	chip	NA
HZ	440V	0	present	present	7.6657	44.4611	chip	NA
HZ	441HZ	0	present	present	7.3657	44.4658	chip	NA
HZ	442HZ	0	present	present	7.7211	44.5088	chip	NA
HZ	446HZ	0	present	present	7.4842	44.33	chip	NA
HZ	449V	0	present	present	7.5516	44.328	chip	NA
HZ	452V	0	present	present	7.8197	44.3953	chip	NA
HZ	453HZ	0	present	present	7.5516	44.328	chip	NA
HZ	454HZ	0	present	present	7.5516	44.328	chip	NA
HZ	455HZ	0	present	present	7.5516	44.328	chip	NA
HZ	456V	0	present	present	7.8197	44.3953	chip	NA
HZ	457V	0	present	present	7.8197	44.3953	chip	NA
HZ	458V	0	present	present	7.8197	44.3953	chip	NA
